first_field;image_html;french;french_audio_html;spanish
prison - french;"<img src=""vocab-prison.jpg"">";prison;[sound:vocab-french-prison.mp3];prisión
program - french;"<img src=""vocab-program.jpg"">";programme;[sound:vocab-french-programme.mp3];programa
pull - french;"<img src=""vocab-pull.jpg"">";tirer;[sound:vocab-french-tirer.mp3];jalar
push - french;"<img src=""vocab-push.jpg"">";pousser;[sound:vocab-french-pousser.mp3];empujar
put - french;"<img src=""vocab-put.jpg"">";mettre;[sound:vocab-french-mettre.mp3];colocar
queen - french;"<img src=""vocab-queen.jpg"">";reine;[sound:vocab-french-reine.mp3];reina
quiet - french;"<img src=""vocab-quiet.jpg"">";calme;[sound:vocab-french-calme.mp3];silencioso
race (competition) - french;"<img src=""vocab-race (competition).jpg"">";course;[sound:vocab-french-course.mp3];carrera
race (people) - french;"<img src=""vocab-race (people).jpg"">";race;[sound:vocab-french-race.mp3];raza
radio - french;"<img src=""vocab-radio.jpg"">";radio;[sound:vocab-french-radio.mp3];radio
rain - french;"<img src=""vocab-rain.jpg"">";pluie;[sound:vocab-french-pluie.mp3];lluvia
red - french;"<img src=""vocab-red.jpg"">";rouge;[sound:vocab-french-rouge.mp3];rojo
religion - french;"<img src=""vocab-religion.jpg"">";religion;[sound:vocab-french-religion.mp3];religión
remember - french;"<img src=""vocab-remember.jpg"">";se souvenir;[sound:vocab-french-se souvenir.mp3];recordar
reporter - french;"<img src=""vocab-reporter.jpg"">";journaliste;[sound:vocab-french-journaliste.mp3];reportero
restaurant - french;"<img src=""vocab-restaurant.jpg"">";restaurant;[sound:vocab-french-restaurant.mp3];restaurante
rice - french;"<img src=""vocab-rice.jpg"">";riz;[sound:vocab-french-riz.mp3];arroz
rich - french;"<img src=""vocab-rich.jpg"">";riche;[sound:vocab-french-riche.mp3];rico
right - french;"<img src=""vocab-right.jpg"">";droite;[sound:vocab-french-droite.mp3];derecha
ring - french;"<img src=""vocab-ring.jpg"">";bague;[sound:vocab-french-bague.mp3];anillo
river - french;"<img src=""vocab-river.jpg"">";fleuve;[sound:vocab-french-fleuve.mp3];río
road - french;"<img src=""vocab-road.jpg"">";route;[sound:vocab-french-route.mp3];carretera
roof - french;"<img src=""vocab-roof.jpg"">";toit;[sound:vocab-french-toit.mp3];techo
room - french;"<img src=""vocab-room.jpg"">";salle;[sound:vocab-french-salle.mp3];habitación
root - french;"<img src=""vocab-root.jpg"">";racine;[sound:vocab-french-racine.mp3];raíz
run - french;"<img src=""vocab-run.jpg"">";courir;[sound:vocab-french-courir.mp3];correr
sad - french;"<img src=""vocab-sad.jpg"">";triste;[sound:vocab-french-triste.mp3];triste
salt - french;"<img src=""vocab-salt.jpg"">";sel;[sound:vocab-french-sel.mp3];sal
sand - french;"<img src=""vocab-sand.jpg"">";sable;[sound:vocab-french-sable.mp3];arena
Saturday - french;"<img src=""vocab-Saturday.jpg"">";samedi;[sound:vocab-french-samedi.mp3];sábado
say - french;"<img src=""vocab-say.jpg"">";dire;[sound:vocab-french-dire.mp3];decir
